"","location","price","mdy","timestamp","last4ccnum","H","loyaltynum"
"1","Abila Airport",124.89,2014-01-07,2014-01-07 12:29:00,8642,"12","L2769"
"2","Abila Airport",182.93,2014-01-09,NA,NA,NA,"L2769"
"3","Abila Airport",202.93,2014-01-09,2014-01-09 12:13:00,8642,"12",NA
"4","Abila Airport",228.41,2014-01-14,2014-01-14 12:30:00,8642,"12","L2769"
"5","Abila Airport",612.47,2014-01-06,2014-01-06 15:39:00,8642,"15","L2769"
"6","Abila Airport",777.06,2014-01-06,2014-01-06 15:14:00,9220,"15","L4063"
"7","Abila Airport",875.87,2014-01-15,2014-01-15 15:40:00,8642,"15","L2769"
"8","Abila Airport",1641.96,2014-01-07,NA,NA,NA,"L3317"
"9","Abila Airport",1676.53,2014-01-16,2014-01-16 09:18:00,3506,"09","L7761"
"10","Abila Airport",1873.79,2014-01-06,2014-01-06 12:16:00,8642,"12",NA
"11","Abila Airport",2228.08,2014-01-13,2014-01-13 16:56:00,8642,"16","L2769"
"12","Abila Airport",2358.22,2014-01-09,2014-01-09 09:26:00,3506,"09","L7761"
"13","Abila Airport",2369.56,2014-01-14,NA,NA,NA,"L7761"
"14","Abila Airport",2723.18,2014-01-08,2014-01-08 12:45:00,8642,"12","L2769"
"15","Abila Airport",2769.12,2014-01-08,2014-01-08 15:29:00,8642,"15","L2769"
"16","Abila Airport",3032.97,2014-01-16,NA,NA,NA,"L2769"
"17","Abila Airport",3138.98,2014-01-16,2014-01-16 13:22:00,2276,"13","L3317"
"18","Abila Airport",3152.41,2014-01-15,2014-01-15 12:25:00,8642,"12","L2769"
"19","Abila Airport",3339.21,2014-01-14,NA,NA,NA,"L3317"
"20","Abila Airport",3379.21,2014-01-14,2014-01-14 13:06:00,2276,"13",NA
"21","Abila Airport",3411.29,2014-01-07,2014-01-07 15:41:00,8642,"15","L2769"
"22","Abila Airport",3617.47,2014-01-13,2014-01-13 08:15:00,9220,"08","L4063"
"23","Abila Airport",3840.37,2014-01-07,2014-01-07 09:17:00,3506,"09","L7761"
"24","Abila Airport",3917.3,2014-01-16,2014-01-16 12:40:00,8642,"12","L2769"
"25","Abila Airport",4039.36,2014-01-10,2014-01-10 07:59:00,9614,"07",NA
"26","Abila Airport",4417.03,2014-01-13,2014-01-13 12:11:00,8642,"12","L2769"
"27","Abila Airport",4538.52,2014-01-09,2014-01-09 15:50:00,8642,"15","L2769"
"28","Abila Airport",4540.08,2014-01-06,2014-01-06 08:23:00,9220,"08","L4063"
"29","Abila Airport",4792.5,2014-01-09,2014-01-09 13:18:00,2276,"13","L3317"
"30","Abila Airport",4898.39,2014-01-14,NA,NA,NA,"L2769"
"31","Abila Airport",4918.39,2014-01-14,2014-01-14 15:32:00,8642,"15",NA
"32","Abila Scrapyard",1158.36,2014-01-09,2014-01-09 14:12:00,2276,"14","L3317"
"33","Abila Scrapyard",1897.05,2014-01-16,2014-01-16 16:56:00,2276,"16","L3317"
"34","Abila Scrapyard",2149.28,2014-01-07,2014-01-07 14:16:00,2276,"14","L3317"
"35","Abila Scrapyard",4277.4,2014-01-14,2014-01-14 14:13:00,2276,"14","L3317"
"36","Abila Zacharo",8.16,2014-01-09,2014-01-09 13:24:00,3484,"13","L2490"
"37","Abila Zacharo",8.22,2014-01-10,2014-01-10 13:59:00,1874,"13","L4424"
"38","Abila Zacharo",8.41,2014-01-14,2014-01-14 13:38:00,6816,"13","L8148"
"39","Abila Zacharo",8.43,2014-01-16,2014-01-16 13:55:00,6901,"13","L9363"
"40","Abila Zacharo",8.6,2014-01-09,2014-01-09 13:32:00,2463,"13","L6886"
"41","Abila Zacharo",8.72,2014-01-13,2014-01-13 13:27:00,9683,"13","L7291"
"42","Abila Zacharo",8.78,2014-01-17,NA,NA,NA,"L2070"
"43","Abila Zacharo",8.83,2014-01-15,NA,NA,NA,"L3191"
"44","Abila Zacharo",9.32,2014-01-10,2014-01-10 14:09:00,6691,"14","L6267"
"45","Abila Zacharo",10.24,2014-01-14,2014-01-14 13:37:00,1310,"13","L8012"
"46","Abila Zacharo",11.2,2014-01-12,2014-01-12 13:45:00,9683,"13","L7291"
"47","Abila Zacharo",11.95,2014-01-17,NA,NA,NA,"L2247"
"48","Abila Zacharo",11.99,2014-01-13,2014-01-13 13:42:00,9635,"13","L3191"
"49","Abila Zacharo",12.05,2014-01-06,NA,NA,NA,"L9254"
"50","Abila Zacharo",12.72,2014-01-07,NA,NA,NA,"L4164"
"51","Abila Zacharo",13.52,2014-01-07,2014-01-07 13:20:00,1415,"13","L7783"
"52","Abila Zacharo",14.37,2014-01-09,2014-01-09 14:15:00,7819,"14","L5259"
"53","Abila Zacharo",14.41,2014-01-08,2014-01-08 13:34:00,1415,"13","L7783"
"54","Abila Zacharo",14.51,2014-01-17,2014-01-17 13:41:00,2142,"13","L9637"
"55","Abila Zacharo",15.26,2014-01-14,2014-01-14 13:35:00,9405,"13","L3259"
"56","Abila Zacharo",15.95,2014-01-17,2014-01-17 13:28:00,5010,"13","L2459"
"57","Abila Zacharo",16.12,2014-01-10,2014-01-10 14:01:00,3492,"14","L7814"
"58","Abila Zacharo",16.2,2014-01-08,2014-01-08 13:53:00,9617,"13","L5553"
"59","Abila Zacharo",16.59,2014-01-18,2014-01-18 13:32:00,9551,"13","L5777"
"60","Abila Zacharo",17.41,2014-01-13,2014-01-13 13:51:00,7819,"13","L5259"
"61","Abila Zacharo",17.81,2014-01-07,2014-01-07 13:41:00,9683,"13","L7291"
"62","Abila Zacharo",18.11,2014-01-06,NA,NA,NA,"L6544"
"63","Abila Zacharo",18.45,2014-01-18,2014-01-18 13:25:00,7253,"13","L1682"
"64","Abila Zacharo",20.44,2014-01-15,2014-01-15 13:47:00,7384,"13",NA
"65","Abila Zacharo",20.73,2014-01-09,2014-01-09 13:40:00,1874,"13","L4424"
"66","Abila Zacharo",21.21,2014-01-17,NA,NA,NA,"L3366"
"67","Abila Zacharo",21.29,2014-01-18,2014-01-18 19:36:00,4795,"19","L8566"
"68","Abila Zacharo",22.13,2014-01-08,2014-01-08 13:10:00,5407,"13","L4034"
"69","Abila Zacharo",22.25,2014-01-07,NA,NA,NA,"L6267"
"70","Abila Zacharo",23.03,2014-01-13,NA,NA,NA,"L3366"
"71","Abila Zacharo",23.15,2014-01-06,2014-01-06 13:54:00,9405,"13","L3259"
"72","Abila Zacharo",23.51,2014-01-15,2014-01-15 13:26:00,7688,"13","L4164"
"73","Abila Zacharo",24.38,2014-01-16,2014-01-16 13:48:00,4948,"13","L9406"
"74","Abila Zacharo",24.53,2014-01-15,2014-01-15 14:02:00,3492,"14","L7814"
"75","Abila Zacharo",24.87,2014-01-14,2014-01-14 14:03:00,4434,"14","L2169"
"76","Abila Zacharo",25.59,2014-01-18,2014-01-18 13:05:00,2540,"13",NA
"77","Abila Zacharo",25.9,2014-01-07,NA,NA,NA,"L5259"
