"","location","price","mdy","timestamp","last4ccnum","H","loyaltynum"
"1","Abila Airport",124.89,2014-01-07,2014-01-07 12:29:00,8642,"12","L2769"
"4","Abila Airport",228.41,2014-01-14,2014-01-14 12:30:00,8642,"12","L2769"
"5","Abila Airport",612.47,2014-01-06,2014-01-06 15:39:00,8642,"15","L2769"
"6","Abila Airport",777.06,2014-01-06,2014-01-06 15:14:00,9220,"15","L4063"
"7","Abila Airport",875.87,2014-01-15,2014-01-15 15:40:00,8642,"15","L2769"
"9","Abila Airport",1676.53,2014-01-16,2014-01-16 09:18:00,3506,"09","L7761"
"11","Abila Airport",2228.08,2014-01-13,2014-01-13 16:56:00,8642,"16","L2769"
"12","Abila Airport",2358.22,2014-01-09,2014-01-09 09:26:00,3506,"09","L7761"
"14","Abila Airport",2723.18,2014-01-08,2014-01-08 12:45:00,8642,"12","L2769"
"15","Abila Airport",2769.12,2014-01-08,2014-01-08 15:29:00,8642,"15","L2769"
"17","Abila Airport",3138.98,2014-01-16,2014-01-16 13:22:00,2276,"13","L3317"
"18","Abila Airport",3152.41,2014-01-15,2014-01-15 12:25:00,8642,"12","L2769"
"21","Abila Airport",3411.29,2014-01-07,2014-01-07 15:41:00,8642,"15","L2769"
"22","Abila Airport",3617.47,2014-01-13,2014-01-13 08:15:00,9220,"08","L4063"
"23","Abila Airport",3840.37,2014-01-07,2014-01-07 09:17:00,3506,"09","L7761"
"24","Abila Airport",3917.3,2014-01-16,2014-01-16 12:40:00,8642,"12","L2769"
"26","Abila Airport",4417.03,2014-01-13,2014-01-13 12:11:00,8642,"12","L2769"
"27","Abila Airport",4538.52,2014-01-09,2014-01-09 15:50:00,8642,"15","L2769"
"28","Abila Airport",4540.08,2014-01-06,2014-01-06 08:23:00,9220,"08","L4063"
"29","Abila Airport",4792.5,2014-01-09,2014-01-09 13:18:00,2276,"13","L3317"
"32","Abila Scrapyard",1158.36,2014-01-09,2014-01-09 14:12:00,2276,"14","L3317"
"33","Abila Scrapyard",1897.05,2014-01-16,2014-01-16 16:56:00,2276,"16","L3317"
"34","Abila Scrapyard",2149.28,2014-01-07,2014-01-07 14:16:00,2276,"14","L3317"
"35","Abila Scrapyard",4277.4,2014-01-14,2014-01-14 14:13:00,2276,"14","L3317"
"36","Abila Zacharo",8.16,2014-01-09,2014-01-09 13:24:00,3484,"13","L2490"
"37","Abila Zacharo",8.22,2014-01-10,2014-01-10 13:59:00,1874,"13","L4424"
"38","Abila Zacharo",8.41,2014-01-14,2014-01-14 13:38:00,6816,"13","L8148"
"39","Abila Zacharo",8.43,2014-01-16,2014-01-16 13:55:00,6901,"13","L9363"
"40","Abila Zacharo",8.6,2014-01-09,2014-01-09 13:32:00,2463,"13","L6886"
"41","Abila Zacharo",8.72,2014-01-13,2014-01-13 13:27:00,9683,"13","L7291"
"44","Abila Zacharo",9.32,2014-01-10,2014-01-10 14:09:00,6691,"14","L6267"
"45","Abila Zacharo",10.24,2014-01-14,2014-01-14 13:37:00,1310,"13","L8012"
"46","Abila Zacharo",11.2,2014-01-12,2014-01-12 13:45:00,9683,"13","L7291"
"48","Abila Zacharo",11.99,2014-01-13,2014-01-13 13:42:00,9635,"13","L3191"
"51","Abila Zacharo",13.52,2014-01-07,2014-01-07 13:20:00,1415,"13","L7783"
"52","Abila Zacharo",14.37,2014-01-09,2014-01-09 14:15:00,7819,"14","L5259"
"53","Abila Zacharo",14.41,2014-01-08,2014-01-08 13:34:00,1415,"13","L7783"
"54","Abila Zacharo",14.51,2014-01-17,2014-01-17 13:41:00,2142,"13","L9637"
"55","Abila Zacharo",15.26,2014-01-14,2014-01-14 13:35:00,9405,"13","L3259"
"56","Abila Zacharo",15.95,2014-01-17,2014-01-17 13:28:00,5010,"13","L2459"
"57","Abila Zacharo",16.12,2014-01-10,2014-01-10 14:01:00,3492,"14","L7814"
"58","Abila Zacharo",16.2,2014-01-08,2014-01-08 13:53:00,9617,"13","L5553"
"59","Abila Zacharo",16.59,2014-01-18,2014-01-18 13:32:00,9551,"13","L5777"
"60","Abila Zacharo",17.41,2014-01-13,2014-01-13 13:51:00,7819,"13","L5259"
"61","Abila Zacharo",17.81,2014-01-07,2014-01-07 13:41:00,9683,"13","L7291"
"63","Abila Zacharo",18.45,2014-01-18,2014-01-18 13:25:00,7253,"13","L1682"
"65","Abila Zacharo",20.73,2014-01-09,2014-01-09 13:40:00,1874,"13","L4424"
"67","Abila Zacharo",21.29,2014-01-18,2014-01-18 19:36:00,4795,"19","L8566"
"68","Abila Zacharo",22.13,2014-01-08,2014-01-08 13:10:00,5407,"13","L4034"
"71","Abila Zacharo",23.15,2014-01-06,2014-01-06 13:54:00,9405,"13","L3259"
"72","Abila Zacharo",23.51,2014-01-15,2014-01-15 13:26:00,7688,"13","L4164"
"73","Abila Zacharo",24.38,2014-01-16,2014-01-16 13:48:00,4948,"13","L9406"
"74","Abila Zacharo",24.53,2014-01-15,2014-01-15 14:02:00,3492,"14","L7814"
"75","Abila Zacharo",24.87,2014-01-14,2014-01-14 14:03:00,4434,"14","L2169"
"80","Abila Zacharo",27.3,2014-01-13,2014-01-13 13:34:00,1321,"13","L4149"
"81","Abila Zacharo",28.25,2014-01-08,2014-01-08 13:46:00,2681,"13","L1107"
"83","Abila Zacharo",30.08,2014-01-06,2014-01-06 13:27:00,7688,"13","L4164"
"84","Abila Zacharo",30.85,2014-01-08,2014-01-08 13:51:00,6901,"13","L9363"
"85","Abila Zacharo",31,2014-01-15,2014-01-15 13:22:00,7889,"13","L6119"
"86","Abila Zacharo",31.09,2014-01-14,2014-01-14 13:35:00,8411,"13","L6110"
"87","Abila Zacharo",31.31,2014-01-16,2014-01-16 13:27:00,3547,"13","L9362"
"88","Abila Zacharo",31.34,2014-01-10,2014-01-10 13:46:00,2681,"13","L1107"
"90","Abila Zacharo",32.4,2014-01-07,2014-01-07 13:44:00,2418,"13","L9018"
"92","Abila Zacharo",33.8,2014-01-15,2014-01-15 13:58:00,3547,"13","L9362"
"96","Abila Zacharo",36.38,2014-01-10,2014-01-10 14:03:00,7819,"14","L5259"
"97","Abila Zacharo",36.73,2014-01-10,2014-01-10 13:36:00,1310,"13","L8012"
"98","Abila Zacharo",36.85,2014-01-08,2014-01-08 13:23:00,2463,"13","L6886"
"101","Abila Zacharo",45.2,2014-01-11,2014-01-11 14:19:00,6901,"14","L9363"
"103","Abila Zacharo",47.8,2014-01-19,2014-01-19 14:20:00,6901,"14","L9363"
"104","Abila Zacharo",48.39,2014-01-09,2014-01-09 13:47:00,1286,"13","L3288"
"105","Abila Zacharo",50.14,2014-01-06,2014-01-06 13:27:00,1286,"13","L3288"
"108","Abila Zacharo",54.82,2014-01-11,2014-01-11 13:32:00,1310,"13","L8012"
"109","Abila Zacharo",64.5,2014-01-13,2014-01-13 13:21:00,1286,"13","L3288"
"110","Abila Zacharo",64.71,2014-01-16,2014-01-16 13:22:00,1286,"13","L3288"
"121","Abila Zacharo",89.54,2014-01-11,2014-01-11 13:33:00,2540,"13","L5947"
"124","Abila Zacharo",111.93,2014-01-18,2014-01-18 13:04:00,8156,"13","L5224"
"127","Ahaggo Museum",26.91,2014-01-19,2014-01-19 13:26:00,9241,"13","L3288"
"130","Ahaggo Museum",55.55,2014-01-18,2014-01-18 14:51:00,1286,"14","L3288"
"131","Ahaggo Museum",89.32,2014-01-11,2014-01-11 16:24:00,4795,"16","L8566"
"132","Ahaggo Museum",120.2,2014-01-12,2014-01-12 16:27:00,6901,"16","L9363"
"133","Ahaggo Museum",120.2,2014-01-18,2014-01-18 14:55:00,7384,"14","L3800"
"134","Albert's Fine Clothing",35.66,2014-01-18,2014-01-18 15:20:00,6895,"15","L3366"
"135","Albert's Fine Clothing",49.48,2014-01-13,2014-01-13 20:42:00,1321,"20","L4149"
"136","Albert's Fine Clothing",50.77,2014-01-14,2014-01-14 20:05:00,3484,"20","L2490"
"137","Albert's Fine Clothing",63.36,2014-01-12,2014-01-12 19:58:00,1877,"19","L3014"
"138","Albert's Fine Clothing",78.91,2014-01-07,2014-01-07 20:10:00,7117,"20","L6417"
"139","Albert's Fine Clothing",91.71,2014-01-16,2014-01-16 20:25:00,7819,"20","L5259"
"140","Albert's Fine Clothing",105.33,2014-01-11,2014-01-11 19:27:00,8156,"19","L5224"
"141","Albert's Fine Clothing",121.76,2014-01-06,2014-01-06 21:03:00,4434,"21","L2169"
"142","Albert's Fine Clothing",126.13,2014-01-10,2014-01-10 20:11:00,6895,"20","L3366"
"143","Albert's Fine Clothing",136.01,2014-01-08,2014-01-08 20:45:00,9635,"20","L3191"
"144","Albert's Fine Clothing",189.52,2014-01-18,2014-01-18 15:57:00,6691,"15","L6267"
"145","Albert's Fine Clothing",195.81,2014-01-12,2014-01-12 15:49:00,2142,"15","L9637"
"146","Albert's Fine Clothing",211.47,2014-01-11,2014-01-11 16:01:00,4434,"16","L2169"
"147","Albert's Fine Clothing",224.52,2014-01-09,2014-01-09 20:21:00,7117,"20","L6417"
"148","Albert's Fine Clothing",226.49,2014-01-18,2014-01-18 18:59:00,8156,"18","L5224"
"149","Albert's Fine Clothing",228.15,2014-01-15,2014-01-15 20:46:00,7117,"20","L6417"
"151","Albert's Fine Clothing",228.72,2014-01-14,2014-01-14 20:50:00,9635,"20","L3191"
"152","Albert's Fine Clothing",229.98,2014-01-09,2014-01-09 21:27:00,8332,"21","L2070"
"153","Albert's Fine Clothing",254.29,2014-01-19,2014-01-19 20:02:00,2540,"20","L5947"
"154","Albert's Fine Clothing",274.66,2014-01-19,2014-01-19 15:39:00,2142,"15","L9637"
"155","Albert's Fine Clothing",276.9,2014-01-06,2014-01-06 20:26:00,9551,"20","L5777"
"156","Albert's Fine Clothing",283.38,2014-01-16,2014-01-16 20:08:00,7117,"20","L6417"
"157","Albert's Fine Clothing",288,2014-01-13,2014-01-13 20:35:00,7688,"20","L4164"
"159","Albert's Fine Clothing",1239.41,2014-01-17,2014-01-17 19:44:00,1321,"19","L4149"
"160","Bean There Done That",3.92,2014-01-10,2014-01-10 12:00:00,9635,"12","L3191"
"162","Bean There Done That",4.06,2014-01-09,2014-01-09 12:00:00,1877,"12","L3014"
"163","Bean There Done That",4.27,2014-01-06,2014-01-06 12:00:00,6895,"12","L3366"
"164","Bean There Done That",5.24,2014-01-06,2014-01-06 12:00:00,1321,"12","L4149"
"165","Bean There Done That",5.34,2014-01-15,2014-01-15 12:00:00,9635,"12","L3191"
"166","Bean There Done That",5.54,2014-01-13,2014-01-13 12:00:00,1321,"12","L4149"
"167","Bean There Done That",5.56,2014-01-16,2014-01-16 12:00:00,1877,"12","L3014"
"168","Bean There Done That",5.77,2014-01-17,2014-01-17 12:00:00,6895,"12","L3366"
"169","Bean There Done That",5.9,2014-01-14,2014-01-14 12:00:00,6895,"12","L3366"
"171","Bean There Done That",7.28,2014-01-14,2014-01-14 12:00:00,1415,"12","L7783"
"173","Bean There Done That",7.93,2014-01-13,2014-01-13 12:00:00,1415,"12","L7783"
"174","Bean There Done That",8.03,2014-01-07,2014-01-07 12:00:00,1321,"12","L4149"
"176","Bean There Done That",8.21,2014-01-17,2014-01-17 12:00:00,9635,"12","L3191"
"177","Bean There Done That",8.54,2014-01-06,2014-01-06 12:00:00,1877,"12","L3014"
"178","Bean There Done That",9.3,2014-01-10,2014-01-10 12:00:00,6895,"12","L3366"
"179","Bean There Done That",10.28,2014-01-06,2014-01-06 12:00:00,1415,"12","L7783"
"180","Bean There Done That",10.37,2014-01-13,2014-01-13 12:00:00,1874,"12","L4424"
"182","Bean There Done That",12.07,2014-01-08,2014-01-08 12:00:00,9635,"12","L3191"
"183","Bean There Done That",12.33,2014-01-16,2014-01-16 12:00:00,9635,"12","L3191"
"184","Bean There Done That",13,2014-01-09,2014-01-09 12:00:00,1415,"12","L7783"
"186","Bean There Done That",13.41,2014-01-10,2014-01-10 12:00:00,1877,"12","L3014"
"190","Bean There Done That",15.24,2014-01-13,2014-01-13 12:00:00,9617,"12","L5553"
"191","Bean There Done That",15.24,2014-01-15,2014-01-15 12:00:00,6895,"12","L3366"
"192","Bean There Done That",15.39,2014-01-10,2014-01-10 12:00:00,1415,"12","L7783"
"194","Bean There Done That",16.09,2014-01-06,2014-01-06 12:00:00,9635,"12","L3191"
"196","Bean There Done That",17.4,2014-01-16,2014-01-16 12:00:00,6895,"12","L3366"
"197","Bean There Done That",17.45,2014-01-08,2014-01-08 12:00:00,1415,"12","L7783"
"199","Bean There Done That",18.59,2014-01-13,2014-01-13 12:00:00,6895,"12","L3366"
"200","Bean There Done That",18.67,2014-01-10,2014-01-10 12:00:00,1321,"12","L4149"
"201","Bean There Done That",18.72,2014-01-17,2014-01-17 12:00:00,1321,"12","L4149"
"202","Bean There Done That",18.96,2014-01-15,2014-01-15 12:00:00,1321,"12","L4149"
"203","Bean There Done That",19.37,2014-01-14,2014-01-14 12:00:00,9635,"12","L3191"
"204","Bean There Done That",19.56,2014-01-13,2014-01-13 12:00:00,1877,"12","L3014"
"205","Bean There Done That",19.56,2014-01-17,2014-01-17 12:00:00,1877,"12","L3014"
"206","Bean There Done That",19.67,2014-01-17,2014-01-17 12:00:00,1415,"12","L7783"
"207","Bean There Done That",19.82,2014-01-16,2014-01-16 12:00:00,1415,"12","L7783"
"216","Brew've Been Served",3,2014-01-07,2014-01-07 07:52:00,4434,"07","L2169"
